Designator,Mid X,Mid Y,Rotation,Layer
C1,76.65,-64.0,270.0,top
C10,83.175,-100.35,180.0,top
C100,140.6,-87.4,90.0,top
C101,138.2,-87.4,90.0,top
C102,142.6,-88.2,90.0,top
C103,148.6,-89.6,270.0,top
C104,150.1,-89.6,270.0,top
C105,138.1,-94.9,180.0,top
C106,138.1,-91.0,180.0,top
C107,232.985,-83.71,0.0,top
C108,174.92475,-102.5,180.0,top
C109,236.855,-103.09,0.0,top
C11,87.575,-96.2,90.0,top
C110,236.855,-105.06,0.0,top
C111,241.325,-90.625,180.0,top
C112,183.65,-111.5,270.0,top
C113,180.05,-110.95,0.0,top
C114,236.855,-107.03,0.0,top
C115,232.985,-88.73,0.0,top
C116,232.985,-86.22,0.0,top
C117,232.985,-91.24,0.0,top
C118,187.96,-107.9,180.0,top
C119,196.35,-110.35,270.0,top
C12,87.2,-86.95,0.0,top
C120,232.985,-93.75,0.0,top
C121,115.05,-92.85,270.0,top
C122,100.25,-88.55,270.0,top
C13,87.2,-89.3,0.0,top
C14,83.1,-92.55,270.0,top
C15,77.675,-79.4,180.0,top
C16,77.675,-77.0,180.0,top
C17,77.675,-81.8,180.0,top
C18,81.05,-69.425,180.0,top
C19,74.05,-101.15,180.0,top
C2,94.3,-57.2,90.0,top
C20,74.05,-98.8,180.0,top
C21,79.775,-96.05,90.0,top
C22,88.4,-64.2,0.0,top
C23,79.35,-89.0,0.0,top
C24,79.35,-86.65,0.0,top
C25,75.25,-92.4,270.0,top
C26,98.6,-98.45,180.0,top
C27,97.85,-127.1,180.0,top
C28,134.3,-127.45,0.0,top
C29,97.85,-128.6,180.0,top
C3,105.15,-57.2,90.0,top
C30,99.75,-108.75,180.0,top
C31,99.725,-113.25,180.0,top
C32,118.975,-97.55,0.0,top
C33,122.0,-97.55,180.0,top
C34,128.45,-97.5,180.0,top
C35,134.3,-103.65,0.0,top
C36,135.0,-111.15,0.0,top
C37,134.25,-117.0,0.0,top
C38,102.3,-129.05,180.0,top
C39,118.45,-130.55,180.0,top
C4,111.2,-55.4,270.0,top
C40,115.025,-130.55,0.0,top
C41,123.175,-130.75,180.0,top
C42,98.6,-124.85,270.0,top
C43,97.1,-124.85,270.0,top
C44,81.55,-114.85,0.0,top
C45,81.55,-113.35,0.0,top
C46,70.55,-122.95,90.0,top
C47,136.95,-108.55,90.0,top
C48,145.6,-108.55,0.0,top
C49,95.2,-118.4,270.0,top
C5,112.2,-55.4,270.0,top
C50,98.0,-122.0,180.0,top
C51,99.6,-104.5,90.0,top
C52,99.6,-106.5,270.0,top
C53,131.7,-129.0,0.0,top
C54,136.55,-104.1,90.0,top
C55,66.1,-113.1,270.0,top
C57,189.14,-145.15,0.0,top
C58,189.14,-146.65,0.0,top
C59,189.14,-148.15,0.0,top
C6,73.08,-119.335,90.0,top
C60,105.922,-75.522,180.0,top
C61,111.672,-66.922,90.0,top
C62,108.772,-90.972,180.0,top
C63,110.2,-66.9,90.0,top
C64,114.672,-66.922,90.0,top
C65,113.172,-66.922,90.0,top
C66,126.322,-88.922,0.0,top
C67,120.25,-66.95,90.0,top
C68,128.922,-85.272,0.0,top
C69,121.75,-66.95,90.0,top
C7,67.08,-119.335,90.0,top
C70,113.522,-92.872,270.0,top
C71,108.772,-89.472,180.0,top
C72,86.4,-112.2,270.0,top
C73,86.4,-109.0,90.0,top
C74,84.8,-109.0,90.0,top
C75,84.8,-112.2,270.0,top
C76,102.05,-144.0,270.0,top
C77,131.95,-144.45,270.0,top
C78,94.45,-136.8,90.0,top
C79,85.95,-144.85,180.0,top
C8,76.65,-67.0,270.0,top
C80,96.8,-144.7,180.0,top
C81,64.2,-116.6,90.0,top
C82,52.2,-120.6,180.0,top
C83,85.45,-129.91,270.0,top
C84,138.25,-59.925,90.0,top
C85,140.65,-59.925,90.0,top
C86,142.625,-60.8,90.0,top
C87,131.0,-61.5,90.0,top
C88,180.5,-102.15,270.0,top
C89,148.75,-61.9,270.0,top
C9,83.175,-102.75,180.0,top
C90,150.2375,-61.9,270.0,top
C91,138.15,-67.2,180.0,top
C92,138.15,-63.2,180.0,top
C93,138.2,-73.5,90.0,top
C94,140.6,-73.5,90.0,top
C95,142.625,-74.3,90.0,top
C96,148.5,-75.4,270.0,top
C97,150.0,-75.4,270.0,top
C98,138.1,-80.8,180.0,top
C99,138.1,-76.8,180.0,top
D1,65.45,-66.2,180.0,top
D10,83.65,-143.45,90.0,top
D11,94.5,-143.3,90.0,top
D12,147.0125,-58.7,180.0,top
D13,155.4625,-60.95,0.0,top
D14,155.5,-68.7,0.0,top
D15,146.95,-72.2,180.0,top
D16,155.6,-74.15,0.0,top
D17,155.549,-82.25,0.0,top
D18,147.0,-86.3,180.0,top
D19,155.649,-88.85,0.0,top
D2,73.65,-64.25,270.0,top
D20,155.649,-96.75,0.0,top
D3,65.45,-80.0,180.0,top
D4,84.05,-63.6,180.0,top
D5,83.775,-88.95,90.0,top
D6,75.85,-88.825,90.0,top
D7,140.4,-138.0,0.0,top
D8,70.3,-114.0,0.0,top
IC1,70.05,-119.2,180.0,top
IC10,191.65,-111.5,0.0,top
IC2,83.8,-68.275,90.0,top
IC3,117.4,-79.922,0.0,top
IC4,144.2,-66.4,0.0,top
IC5,144.2,-80.0,0.0,top
IC6,144.2,-94.2,0.0,top
IC7,172.95,-107.9,0.0,top
IC8,241.325,-92.75,0.0,top
IC9,180.8,-108.925,180.0,top
J1,56.1,-67.95,270.0,top
J10,175.59,-133.4,90.0,top
J11,190.735,-133.45,90.0,top
J12,117.0,-142.0,180.0,top
J13,188.85,-73.7481,180.0,top
J14,190.0,-102.52,90.0,top
J15,190.0,-121.0,90.0,top
J2,55.525,-83.6,90.0,top
J3,157.28,-144.1,90.0,top
J4,54.15,-97.15,270.0,top
J5,75.775,-144.03,0.0,top
J6,64.325,-97.02,0.0,top
J7,72.1,-141.575,0.0,top
J8,140.3,-147.6,0.0,top
J9,153.51,-138.8,90.0,top
L1,82.1,-56.05,0.0,top
L2,86.975,-99.9,90.0,top
L3,87.6,-78.15,0.0,top
L4,98.6,-100.0,0.0,top
L5,79.175,-99.65,90.0,top
L7,92.2,-64.2,270.0,top
L8,80.45,-140.15,270.0,top
L9,91.3,-140.1,270.0,top
LED1,69.05,-106.5,0.0,top
LED2,69.05,-108.8,0.0,top
LED3,186.1525,-134.45,180.0,top
LED4,169.64,-134.45,0.0,top
PS1,86.675,-92.6,270.0,top
PS2,78.825,-92.4,270.0,top
PS3,84.25,-140.25,90.0,top
PS4,95.1,-140.1,90.0,top
Q1,175.675,-58.544,90.0,top
Q2,170.525,-65.372,270.0,top
Q3,175.675,-72.812,90.0,top
Q4,170.475,-79.71725,270.0,top
Q5,175.625,-87.112,90.0,top
Q6,170.475,-93.912,270.0,top
R1,78.2,-64.0,90.0,top
R10,76.875,-95.35,0.0,top
R100,117.25,-137.26,270.0,top
R101,116.25,-137.26,270.0,top
R102,115.25,-137.26,270.0,top
R103,96.9,-142.9,180.0,top
R104,114.25,-137.25,270.0,top
R105,113.25,-137.26,270.0,top
R106,112.25,-137.26,270.0,top
R107,111.25,-137.25,270.0,top
R108,110.25,-137.25,270.0,top
R109,109.25,-137.25,270.0,top
R11,76.475,-91.85,90.0,top
R110,108.25,-137.25,270.0,top
R111,127.25,-137.3,270.0,top
R112,107.25,-137.24,270.0,top
R113,106.25,-137.26,270.0,top
R114,105.25,-137.24,270.0,top
R115,62.2,-116.8,180.0,top
R116,52.4,-122.6,90.0,top
R117,66.6,-135.91,90.0,top
R118,84.25,-129.86,90.0,top
R119,135.85,-59.925,90.0,top
R12,81.3,-108.3,180.0,top
R120,145.125,-61.4,180.0,top
R121,152.7375,-59.45,0.0,top
R122,152.9375,-61.15,0.0,top
R123,137.6,-64.4,180.0,top
R124,137.6,-66.0,180.0,top
R125,152.7635,-67.25,0.0,top
R126,151.0135,-69.025,180.0,top
R127,164.6,-65.8,180.0,top
R128,135.8,-73.5,90.0,top
R129,145.1,-74.9,180.0,top
R13,99.15,-97.2,180.0,top
R130,152.8,-73.2,0.0,top
R131,153.0,-75.0,0.0,top
R132,137.6,-78.0,180.0,top
R133,137.6,-79.6,180.0,top
R134,152.8,-80.9,0.0,top
R135,151.05,-82.6,180.0,top
R136,164.6,-80.2,180.0,top
R137,135.8,-87.425,90.0,top
R138,145.1,-89.0,180.0,top
R139,152.95,-87.85,0.0,top
R14,256.34,-102.78,0.0,top
R140,153.15,-89.6,0.0,top
R141,137.6,-92.2,180.0,top
R142,137.6,-93.7,180.0,top
R143,152.95,-95.8,0.0,top
R144,151.2,-97.55,180.0,top
R145,164.6,-94.4,180.0,top
R146,166.85,-102.35,90.0,top
R147,165.15,-102.35,90.0,top
R148,177.19975,-108.65,90.0,top
R149,216.785,-93.4,0.0,top
R15,139.9,-134.5,270.0,top
R150,222.605,-95.39,0.0,top
R151,216.785,-95.39,0.0,top
R152,222.605,-83.45,0.0,top
R153,219.695,-83.45,0.0,top
R154,225.515,-83.45,0.0,top
R155,219.695,-85.44,0.0,top
R156,222.605,-85.44,0.0,top
R157,182.4,-111.25,90.0,top
R158,219.695,-87.43,0.0,top
R159,225.515,-85.44,0.0,top
R16,140.9,-134.5,270.0,top
R160,219.695,-89.42,0.0,top
R161,222.605,-87.43,0.0,top
R162,219.695,-91.41,0.0,top
R163,225.515,-87.43,0.0,top
R164,222.605,-89.42,0.0,top
R165,190.46,-107.9,0.0,top
R166,219.695,-93.4,0.0,top
R167,225.515,-89.42,0.0,top
R168,222.605,-91.41,0.0,top
R169,219.695,-95.39,0.0,top
R17,71.6,-106.5,180.0,top
R170,225.515,-91.41,0.0,top
R171,222.605,-93.4,0.0,top
R18,71.6,-108.77,180.0,top
R19,62.85,-109.31,90.0,top
R2,78.2,-67.0,90.0,top
R20,62.85,-113.01,90.0,top
R21,137.0,-138.895,270.0,top
R22,137.0,-140.905,270.0,top
R23,67.4,-96.0,270.0,top
R25,244.31,-113.65,0.0,top
R26,244.31,-115.64,0.0,top
R27,167.04,-137.95,0.0,top
R28,167.04,-139.5,0.0,top
R29,185.89,-133.2,180.0,top
R3,83.0,-65.3,0.0,top
R30,169.89,-133.2,0.0,top
R31,146.15,-148.15,270.0,top
R32,147.15,-148.15,270.0,top
R33,244.31,-117.63,0.0,top
R4,84.775,-97.1,180.0,top
R5,84.775,-95.6,0.0,top
R6,84.325,-92.0,90.0,top
R7,87.25,-69.425,0.0,top
R8,87.25,-67.825,180.0,top
R9,76.875,-96.85,180.0,top
R90,125.25,-137.25,270.0,top
R91,86.05,-143.05,180.0,top
R92,126.25,-137.25,270.0,top
R93,124.25,-137.25,270.0,top
R94,123.25,-137.25,270.0,top
R95,122.25,-137.25,270.0,top
R96,121.25,-137.25,270.0,top
R97,120.25,-137.25,270.0,top
R98,119.25,-137.24,270.0,top
R99,118.25,-137.25,270.0,top
RT1,85.45,-126.91,90.0,top
S2,72.25,-127.75,270.0,top
S3,56.65,-109.8,180.0,top
S4,56.65,-113.5,180.0,top
S5,193.49,-137.05,0.0,top
U1,81.55,-110.8,0.0,top
U10,90.2,-114.8,0.0,top
U11,108.722,-77.172,0.0,top
U12,126.0989,-78.622,180.0,top
U13,108.722,-79.722,0.0,top
U14,126.0951,-81.172,180.0,top
U15,108.722,-82.272,0.0,top
U16,126.072,-83.722,180.0,top
U18,108.7451,-84.822,0.0,top
U19,126.072,-86.922,180.0,top
U2,141.5625,-111.75,270.0,top
U20,108.7489,-87.372,0.0,top
U21,117.672,-92.45,90.0,top
U22,61.15,-129.55,0.0,top
U23,219.705,-99.685,270.0,top
U24,219.705,-106.26,270.0,top
U3,117.0,-114.0,270.0,top
U4,95.75,-88.5,90.0,top
U5,177.9,-142.45,180.0,top
U6,126.0231,-71.25,180.0,top
U7,108.772,-71.121999,0.0,top
U8,126.0,-74.122001,180.0,top
U9,108.772,-73.672,0.0,top
X1,97.6,-119.2,270.0,top
Y1,98.0,-105.4,270.0,top
